cell_id,comp_1,comp_2,comp_3
C731,0.97979574431751,0.4552648120005114,0.7637963385266014
C139,0.615587413400859,0.14439887997337908,0.3698854045110507
C158,0.4994127083409352,0.06270696460000015,0.26200556638966277
C550,0.6462374659096534,0.03969261860807658,0.25055120676354037
C610,0.15331012899987778,0.22825047787011302,0.26127973042372143
C799,0.03273456174780204,0.5617893670129978,0.7840273828693153
C742,0.5852931444756844,0.05624598388442361,0.24506306928953178
C133,0.19049570451965442,0.29165232804246155,0.395359623925491
C19,0.9568661508952712,0.49487704468347493,0.7856139215492781
C504,0.7925760609432331,0.1672758445456487,0.5180328151543966
C462,0.9402478462500483,0.6308997296957447,0.6726764736680763
C644,0.8297058520349916,0.13853555680304352,0.6149757606891377
C765,0.5127740518825384,0.07822191198754036,0.2559999890552809
C138,0.037352138717162475,0.5609242842707861,0.7267543233371928
C514,0.6918757814562896,0.9852864778337008,0.14122956941764775
C369,0.09572166621878919,0.5523363062120151,0.6930554682831467
C457,0.47240167221307405,0.07825810932240736,0.1792133978256736
C4,0.09329780533947934,0.456171616839687,0.5939257495058643
C688,0.518026686926403,0.08578335950270412,0.17797444753041322
C605,0.702066166333701,0.8945833478571914,0.3224666874419805
C148,0.5811456691219077,0.03774781921986772,0.23062145403383527
C204,0.047945593725492786,0.5279089955748703,0.6181252685300338
C28,0.8479083389134676,0.23746214713093103,0.6721832269130236
C68,0.07690008043734925,0.693665313069146,0.7950274557257986
C458,0.045436463367645286,0.46943272428635846,0.7004784538357629
C401,0.18794451325466238,0.25121781943986754,0.3774727287418685
C469,0.6510485367469585,0.9459666118835092,0.27571018507534245
C863,0.5774623828225149,0.9378517123630588,0.1998534209850822
C859,0.7022514057750239,0.9031122165827018,0.3093886313900978
C230,0.9515096040202782,0.5973731289757328,0.7950778102141842
C363,0.09311185347860707,0.5388975306083514,0.6066012230443021
C753,0.523000127973383,0.1219904192845269,0.337720912652744
C600,0.7990716021063836,0.10312556194304265,0.44530770887611515
C213,0.46759553149339467,0.068232625443147,0.194793956736996
C279,0.9426271018974899,0.4604570970947086,0.7235794768279575
C338,0.09094069311212982,0.3543581295197199,0.5166934910860322
C406,0.714980965351613,0.9454137479509446,0.2292919244130022
C306,0.76427294172232,0.9520082988885971,0.11207705236253464
C486,0.8868000034355569,0.5942255216944944,0.6541782477834194
C381,0.8161468850590818,0.06727371665577002,0.5760491418319799
C678,0.4231380208045979,0.08994344977414206,0.15350231294076375
C229,0.12061009031804448,0.3922973083687429,0.5664418397815422
C390,0.07531797315819289,0.5019335419740061,0.6303959005513704
C757,0.08260261556096787,0.3574262364116997,0.5026852553277178
C766,0.4279642744533035,0.09124686968502303,0.17973083107830512
C878,0.938019092521591,0.5981462128433289,0.7033157494365281
C836,0.8003015101446377,0.12849824069808544,0.5207913016075127
C884,0.0291729123114276,0.5382200381824845,0.6532554651185117
C192,0.11618715702159171,0.3882183624167966,0.5492521547647434
C579,0.060381438865251824,0.5477316572223198,0.6865354999041825
