cell_id,comp_1,comp_2,comp_3
C578,0.05268677758766255,0.7569313986714143,0.5789954464383233
C845,0.16152004254167907,0.47165518201477,0.5177029795188975
C162,0.17349315567797352,0.38757084709766193,0.5588907507149764
C135,0.912819037434414,0.5662468620551868,0.5152129669337421
C18,0.05029388387484385,0.7044769357681759,0.501100083442964
C512,0.9665030005393587,0.6622893897050017,0.5475664200577564
C755,0.9490264096024303,0.7724361790199367,0.47913999671220053
C733,0.9167845893899228,0.5875606705327956,0.4839021600574708
C686,0.08419226797960516,0.4857056514988706,0.5418298530498534
C644,0.11354103587452324,0.5684748246810046,0.5640670782076846
C166,0.8812957564895578,0.500768579216967,0.5071716563989377
C103,0.021652090138778002,0.7892891291412414,0.2712167839919548
C321,0.9445962278900414,0.8364610440013559,0.6161845397402662
C753,0.1886532292512006,0.2964062868355557,0.6284076353779763
C186,0.07663669649542737,0.8168639649888667,0.5023576671402922
C548,0.72990379401525,0.3785614209565315,0.5182270932804224
C621,0.4742244682426784,0.30205745665360456,0.5593195524467024
C762,0.7944764310631094,0.44676872442207083,0.5285430866127344
C662,0.05476180017018428,0.6361862929141603,0.6402176040614662
C683,0.9663095954270748,0.7173054170761419,0.5296185361396079
C225,0.8653421605769286,0.4633221019076196,0.516974776851009
C812,0.8068367107344121,0.41857672550240876,0.6150629989782416
C742,0.9825283547493637,0.8151057374207229,0.6721832476838011
C143,0.8416137737583766,0.460352600301387,0.5071700448359842
C199,0.926916890922158,0.6360340484002119,0.5329738010042323
C208,0.0969661092154655,0.7583773292272049,0.5939840904556606
C795,0.07202108684287156,0.7224960841316304,0.6179300315982121
C786,0.1475083533184645,0.5770972918302963,0.48618895660044165
C283,0.8644368383102529,0.4418457332004885,0.5028253950609887
C671,0.08095480429329621,0.8147484006070349,0.6181233764701161
C860,0.907287226343253,0.8383872515494064,0.3090027569589824
C32,0.1577668688870386,0.5023315645728734,0.6009671506122833
C504,0.5324527616825366,0.23542257631531735,0.5130289119733045
C462,0.07882740021632884,0.7215522097154019,0.5614291945920323
C491,0.5428372803221154,0.3985042456195154,0.5329966287678612
C645,0.9497131015551669,0.8248727057232981,0.499011457806939
C107,0.10658710201784727,0.6181560450837099,0.5331481967762899
C613,0.91576021810395,0.8393785176004377,0.5633525168758309
C257,0.4662385637145047,0.27578343509902825,0.6205055620546333
C540,0.9446706667327418,0.6980228551104506,0.4749775848175564
C466,0.07929556873392513,0.7826387922702424,0.5298182617083742
C721,0.8418801973471148,0.3586429641160479,0.4302537008098812
C826,0.945861405965502,0.8355330501754602,0.5112297970520404
C728,0.9256581573826521,0.6242861509356543,0.5699860364296131
C26,0.032590479654859617,0.6954376846708603,0.534113715324695
C605,0.9326771464956314,0.7347467291294787,0.6028804748692819
C820,0.06291533427019258,0.7485097771635049,0.5175347111804215
C69,0.9435838716108524,0.8848039244626525,0.5951672320205973
C874,0.8474795979641443,0.4637142258022458,0.501818364665808
C85,0.08543458419897904,0.6811686267141857,0.591636693834345
